name,ingredients,diet,region
Pindi chana,tea bags,vegetarian,North
Pindi chana,tomato,vegetarian,North
Pindi chana,kasuri methi,vegetarian,North
Pindi chana,cinnamon,vegetarian,North
Rajma chaval,Red kidney beans,vegetarian,North
Rajma chaval,garam masala powder,vegetarian,North
Rajma chaval,ginger,vegetarian,North
Rajma chaval,tomato,vegetarian,North
Rajma chaval,mustard oil,vegetarian,North
Rongi,Garam masala powder,vegetarian,North
Rongi,tomato,vegetarian,North
Rongi,kasuri methi,vegetarian,North
Rongi,cinnamon,vegetarian,North
Rongi,mustard oil,vegetarian,North
Sattu ki roti,Sattu,vegetarian,North
Sattu ki roti,atta,vegetarian,North
Sattu ki roti,dough,vegetarian,North
Sattu ki roti,filling,vegetarian,North
Sattu ki roti,mustard oil,vegetarian,North
Shahi paneer,Cottage cheese,vegetarian,North
Shahi paneer,malai,vegetarian,North
Shahi paneer,garam masala,vegetarian,North
Shahi paneer,ginger,vegetarian,North
Shahi paneer,tomato,vegetarian,North
Shahi tukra,Rose water,vegetarian,South
Shahi tukra,milk,vegetarian,South
Shahi tukra,white bread slices,vegetarian,South
Shahi tukra,saffron,vegetarian,South
Shahi tukra,almonds,vegetarian,South
Vegetable jalfrezi,Baby corn,vegetarian,North
Vegetable jalfrezi,french beans,vegetarian,North
Vegetable jalfrezi,garam masala,vegetarian,North
Vegetable jalfrezi,ginger,vegetarian,North
Vegetable jalfrezi,carrot,vegetarian,North
Tandoori Chicken,Greek yogurt,non vegetarian,North
Tandoori Chicken,garam masala,non vegetarian,North
Tandoori Chicken,kasuri methi,non vegetarian,North
Tandoori Chicken,marinade,non vegetarian,North
Tandoori Chicken,mustard oil,non vegetarian,North
Tandoori Fish Tikka,Chickpea flour,non vegetarian,North
Tandoori Fish Tikka,biryani masala powder,non vegetarian,North
Tandoori Fish Tikka,yogurt,non vegetarian,North
Tandoori Fish Tikka,fish fillets,non vegetarian,North
Tandoori Fish Tikka,green bell pepper,non vegetarian,North
Attu,Whole wheat flour,vegetarian,South
Attu,arhar dal,vegetarian,South
Attu,ginger,vegetarian,South
Attu,kala jeera,vegetarian,South
Attu,green chilli,vegetarian,South
Avial,Raw banana,vegetarian,South
Avial,elephant foot yam,vegetarian,South
Avial,long beans,vegetarian,South
Avial,tindora,vegetarian,South
Avial,urad dal,vegetarian,South
Bisi bele bath,Split pigeon peas,vegetarian,South
Bisi bele bath,chana dal,vegetarian,South
Bisi bele bath,urad dal,vegetarian,South
Bisi bele bath,green peas,vegetarian,South
Bisi bele bath,french beans,vegetarian,South
Currivepillai sadam ,Chana dal,vegetarian,South
Currivepillai sadam ,urad dal,vegetarian,South
Currivepillai sadam ,fresh coconut,vegetarian,South
Currivepillai sadam ,sesame seeds,vegetarian,South
Currivepillai sadam ,curry leaves,vegetarian,South
Dosa,Chana dal,vegetarian,South
Dosa,urad dal,vegetarian,South
Dosa,whole urad dal,vegetarian,South
Dosa,blend rice,vegetarian,South
Dosa,rock salt,vegetarian,South
Idiappam,Rice flour,vegetarian,South
Idiappam,hot water,vegetarian,South
Idiappam,grated coconut,vegetarian,South
Idli,Split urad dal,vegetarian,South
Idli,urad dal,vegetarian,South
Idli,idli rice,vegetarian,South
Idli,thick poha,vegetarian,South
Idli,rock salt,vegetarian,South
Kanji,Carrot,vegetarian,South
Kanji,yellow mustard,vegetarian,South
Kanji,red chilli,vegetarian,South
Kanji,black salt,vegetarian,South
Kaara kozhambu,Sesame oil,vegetarian,South
Kaara kozhambu,drumstick,vegetarian,South
Kaara kozhambu,tamarind paste,vegetarian,South
Kaara kozhambu,sambar powder,vegetarian,South
Kaara kozhambu,tomato,vegetarian,South
Keerai kootu,Moong dal,vegetarian,South
Keerai kootu,chana dal,vegetarian,South
Keerai kootu,spinach,vegetarian,South
Keerai kootu,urad dal,vegetarian,South
Keerai kootu,coconut oil,vegetarian,South
Keerai masiyal,Urad dal,vegetarian,South
Keerai masiyal,curry leaves,vegetarian,South
Keerai masiyal,sugar,vegetarian,South
Keerai masiyal,mustard seeds,vegetarian,South
Keerai masiyal,spinach,vegetarian,South
Keerai sadam,Greens,vegetarian,South
Keerai sadam,tomato,vegetarian,South
Keerai sadam,mustard seeds,vegetarian,South
Keerai sadam,fenugreek seeds,vegetarian,South
Keerai poriyal,Amaranth leaves,vegetarian,South
Keerai poriyal,split urad dal,vegetarian,South
Keerai poriyal,mustard seeds,vegetarian,South
Keerai poriyal,grated coconut,vegetarian,South
Keerai poriyal,red chili,vegetarian,South
Beef Fry,Beef,non vegetarian,South
Beef Fry,coconut,non vegetarian,South
Beef Fry,garam masala,non vegetarian,South
Beef Fry,curry leaves,non vegetarian,South
Beef Fry,green chilies,non vegetarian,South
Beef Fry,chili powder,non vegetarian,South
Kootu,Chana dal,vegetarian,South
Kootu,urad dal,vegetarian,South
Kootu,potato,vegetarian,South
Kootu,beans,vegetarian,South
Kootu,peas,vegetarian,South
Kos kootu,Moong dal,vegetarian,South
Kos kootu,chana dal,vegetarian,South
Kos kootu,cabbage,vegetarian,South
Kos kootu,tamarind,vegetarian,South
Kos kootu,curry leaves,vegetarian,South
Koshambri,Moong dal,vegetarian,South
Koshambri,cucumber,vegetarian,South
Koshambri,curry leaves,vegetarian,South
Koshambri,green chili,vegetarian,South
Koshambri,lemon juice,vegetarian,South
Kothamali sadam,Chana dal,vegetarian,South
Kothamali sadam,urad dal,vegetarian,South
Kothamali sadam,gooseberry,vegetarian,South
Kothamali sadam,raw rice,vegetarian,South
Kothamali sadam,curry leaves,vegetarian,South
Kuzhakkattai,Sesame oil,vegetarian,South
Kuzhakkattai,raw rice,vegetarian,South
Kuzhakkattai,jaggery,vegetarian,South
Kuzhakkattai,grated coconut,vegetarian,South
Kuzhambu,Pearl onions,vegetarian,South
Kuzhambu,urad dal,vegetarian,South
Kuzhambu,drumsticks,vegetarian,South
Kuzhambu,tomato,vegetarian,South
Kuzhambu,curry leaves,vegetarian,South
Masala Dosa,Chana dal,vegetarian,South
Masala Dosa,urad dal,vegetarian,South
Masala Dosa,potatoes,vegetarian,South
Masala Dosa,idli rice,vegetarian,South
Masala Dosa,thick poha,vegetarian,South
Pachadi,Coconut oil,vegetarian,South
Pachadi,cucumber,vegetarian,South
Pachadi,curd,vegetarian,South
Pachadi,curry leaves,vegetarian,South
Pachadi,mustard seeds,vegetarian,South
Paniyaram,Yogurt,vegetarian,South
Paniyaram,ginger,vegetarian,South
Paniyaram,curry leaves,vegetarian,South
Paniyaram,baking soda,vegetarian,South
Paniyaram,green chilli,vegetarian,South
Papadum,Lentils,vegetarian,South
Papadum,black pepper,vegetarian,South
Papadum,vegetable oil,vegetarian,South
Paravannam,Raw rice,vegetarian,South
Paravannam, jaggery,vegetarian,South
Paravannam,milk,vegetarian,South
Payasam,Rice,vegetarian,South
Payasam,cashew nuts,vegetarian,South
Payasam,milk,vegetarian,South
Payasam,raisins,vegetarian,South
Payasam,sugar,vegetarian,South
Paruppu sadam,Arhar dal,vegetarian,South
Paruppu sadam,sambar powder,vegetarian,South
Paruppu sadam,tomato,vegetarian,South
Paruppu sadam,curry leaves,vegetarian,South
Paruppu sadam,fennel seeds,vegetarian,South
Pesarattu,Green moong beans,vegetarian,South
Pesarattu,rice flour,vegetarian,South
Poriyal,Chana dal,vegetarian,South
Poriyal,urad dal,vegetarian,South
Poriyal,beans,vegetarian,South
Poriyal,coconut,vegetarian,South
Poriyal,mustard,vegetarian,South
Puli sadam,Urad dal,vegetarian,South
Puli sadam,lemon,vegetarian,South
Puli sadam,tamarind,vegetarian,South
Puli sadam,cooked rice,vegetarian,South
Puli sadam,curry leaves,vegetarian,South
Rasam,Tomato,vegetarian,South
Rasam,curry leaves,vegetarian,South
Rasam,garlic,vegetarian,South
Rasam,mustard seeds,vegetarian,South
Rasam,hot water,vegetarian,South
Puttu,Brown rice flour,vegetarian,South
Puttu,sugar,vegetarian,South
Puttu,grated coconut,vegetarian,South
Sambar,Pigeon peas,vegetarian,South
Sambar,eggplant,vegetarian,South
Sambar,drumsticks,vegetarian,South
Sambar,sambar powder,vegetarian,South
Sambar,tamarind,vegetarian,South
Sandige,Thin rice flakes,vegetarian,South
Sandige,black sesame seeds,vegetarian,South
Sandige,curry leaves,vegetarian,South
Sevai,Sevai,vegetarian,South
Sevai,parboiled rice,vegetarian,South
Sevai,steamer,vegetarian,South
Thayir sadam,Urad dal,vegetarian,South
Thayir sadam,curd,vegetarian,South
Thayir sadam,sesame oil,vegetarian,South
Thayir sadam,ginger,vegetarian,South
Thayir sadam,curry leaves,vegetarian,South
Thayir sadam,mustard seeds,vegetarian,South
Theeyal,Coconut,vegetarian,South
Theeyal,whole red beans,vegetarian,South
Theeyal,masala,vegetarian,South
Theeyal,sesame oil,vegetarian,South
Theeyal,tamarind,vegetarian,South
Uttapam,Chana dal,vegetarian,South
Uttapam,urad dal,vegetarian,South
Uttapam,thick poha,vegetarian,South
Uttapam,tomato,vegetarian,South
Uttapam,butter,vegetarian,South
Vada,Urad dal,vegetarian,South
Vada,ginger,vegetarian,South
Vada,curry leaves,vegetarian,South
Vada,green chilies,vegetarian,South
Vada,black pepper,vegetarian,South
Chicken Varuval,Meat curry powder,non vegetarian,South
Chicken Varuval,chicken chunks,non vegetarian,South
Chicken Varuval,ginger,non vegetarian,South
Chicken Varuval,tomato,non vegetarian,South
Chicken Varuval,cinnamon,non vegetarian,South
Amti,Kala masala,vegetarian,West
Amti,arhar dal,vegetarian,West
Amti,curry leaves,vegetarian,West
Amti,mustard seeds,vegetarian,West
Amti,hot water,vegetarian,West
Zunka,Gram flour,vegetarian,West
Zunka,mustard,vegetarian,West
Zunka,garlic,vegetarian,West
