name,ingredients,diet,region
Keerai kootu,urad dal,vegetarian,South
Kootu,urad dal,vegetarian,South
Kothamali sadam,urad dal,vegetarian,South
Kuzhambu,urad dal,vegetarian,South
Masala Dosa,urad dal,vegetarian,South
Poriyal,urad dal,vegetarian,South
Uttapam,urad dal,vegetarian,South
Anarsa,Rice flour,vegetarian,West
Modak,Rice flour,vegetarian,West
Chakali,Rice flour,vegetarian,West
Kombdi vade,Rice flour,vegetarian,West
Khichu,Rice flour,vegetarian,West
Chapati,Whole wheat flour,vegetarian,West
Daal Dhokli,Whole wheat flour,vegetarian,West
Khakhra,Whole wheat flour,vegetarian,West
Sukhdi,Whole wheat flour,vegetarian,West
Thalipeeth,Whole wheat flour,vegetarian,West
Churma Ladoo,Whole wheat flour,vegetarian,West
Pattor,bengal gram flour,vegetarian,West
Chorafali,bengal gram flour,vegetarian,West
Daal Dhokli,bengal gram flour,vegetarian,West
Khakhra,bengal gram flour,vegetarian,West
Mohanthal,bengal gram flour,vegetarian,West
Muthiya,bengal gram flour,vegetarian,West
Patra,bengal gram flour,vegetarian,West
Ghevar,clarified butter,vegetarian,West
Dudhi halwa,clarified butter,vegetarian,West
Gud papdi,clarified butter,vegetarian,West
Sukhdi,clarified butter,vegetarian,West
Farsi Puri,clarified butter,vegetarian,West
Bebinca,clarified butter,vegetarian,West
Poha,curry leaves,vegetarian,West
Amti,curry leaves,vegetarian,West
Dalithoy,curry leaves,vegetarian,West
Khandvi,curry leaves,vegetarian,West
Puri Bhaji,curry leaves,vegetarian,West
Sabudana Khichadi,curry leaves,vegetarian,West
Boondi,ghee,vegetarian,West
Ghevar,ghee,vegetarian,West
Sheera,ghee,vegetarian,West
Sohan papdi,ghee,vegetarian,West
Shankarpali,ghee,vegetarian,West
Sutar feni,ghee,vegetarian,West
Kolim Jawla,ginger,non vegetarian,West
Puri Bhaji,ginger,vegetarian,West
Sev tameta,ginger,vegetarian,West
Vindaloo,ginger,non vegetarian,West
Lilva Kachori,ginger,vegetarian,West
Dhokla,gram flour,vegetarian,West
Gatta curry,gram flour,vegetarian,West
Khandvi,gram flour,vegetarian,West
Kombdi vade,gram flour,vegetarian,West
Methi na Gota,gram flour,vegetarian,West
Khaman,gram flour,vegetarian,West
Pattor,gur,vegetarian,West
Daal Dhokli,gur,vegetarian,West
Patra,gur,vegetarian,West
Sukhdi,gur,vegetarian,West
Churma Ladoo,gur,vegetarian,West
Chikki,jaggery,vegetarian,West
Anarsa,jaggery,vegetarian,West
Gud papdi,jaggery,vegetarian,West
Surnoli,jaggery,vegetarian,West
Mag Dhokli,jaggery,vegetarian,West
